year,<=0,>0,0.05,0.1,0.15,0.2,0.25,0.3,0.35,0.4,0.45,0.5,0.55,0.6,0.65,0.7,0.75,0.8,0.85,0.9,0.95,1
1976,8,1369,0.366,0.506,0.661,0.765,0.872,0.995,1.114,1.207,1.294,1.374,1.471,1.539,1.654,1.792,1.914,2.13,2.396,2.873,3.572,46.769
1977,5,1399,0.342,0.461,0.574,0.647,0.737,0.807,0.885,0.956,1.02,1.087,1.138,1.213,1.28,1.356,1.432,1.566,1.754,2,2.475,23.801
1978,5,1394,0.408,0.512,0.621,0.703,0.785,0.86,0.93,1.006,1.07,1.128,1.173,1.241,1.315,1.401,1.491,1.602,1.778,2.036,2.543,8.411
1979,8,1383,0.4,0.533,0.636,0.738,0.817,0.901,0.999,1.075,1.135,1.203,1.292,1.356,1.429,1.533,1.628,1.729,1.86,2.105,2.535,7.811
1980,8,1371,0.352,0.454,0.527,0.623,0.697,0.781,0.859,0.942,1.017,1.093,1.163,1.263,1.358,1.458,1.578,1.687,1.816,2.034,2.388,6.779
1981,7,1364,0.278,0.372,0.451,0.535,0.608,0.695,0.769,0.847,0.945,1.024,1.117,1.209,1.327,1.413,1.551,1.686,1.833,2.06,2.413,6.86
1982,8,1348,0.363,0.453,0.534,0.598,0.685,0.765,0.84,0.925,1.005,1.096,1.191,1.304,1.39,1.5,1.616,1.725,1.866,2.062,2.551,5.511
1983,9,1322,0.294,0.382,0.45,0.509,0.593,0.686,0.762,0.843,0.911,0.992,1.083,1.17,1.259,1.335,1.439,1.531,1.671,1.8,2.135,6.263
1984,12,1324,0.264,0.341,0.397,0.458,0.512,0.565,0.634,0.69,0.748,0.812,0.875,0.929,0.996,1.071,1.154,1.263,1.37,1.508,1.716,4.482
1985,21,1298,0.307,0.397,0.473,0.538,0.6,0.668,0.726,0.78,0.844,0.911,0.974,1.047,1.127,1.197,1.274,1.358,1.45,1.584,1.866,13.017
1986,26,1257,0.259,0.336,0.383,0.444,0.501,0.552,0.602,0.662,0.715,0.768,0.82,0.885,0.955,1.018,1.078,1.169,1.244,1.375,1.583,24.438
1987,28,1246,0.213,0.313,0.368,0.428,0.481,0.519,0.571,0.617,0.669,0.728,0.793,0.848,0.904,0.945,0.997,1.055,1.144,1.293,1.559,22.714
1988,32,1248,0.238,0.33,0.395,0.487,0.547,0.61,0.67,0.733,0.795,0.855,0.917,0.993,1.049,1.111,1.177,1.279,1.426,1.614,2.04,81.304
1989,43,1206,0.245,0.329,0.386,0.444,0.513,0.565,0.614,0.672,0.722,0.766,0.826,0.882,0.944,0.995,1.076,1.147,1.246,1.41,1.758,9.155
1990,46,1204,0.198,0.271,0.334,0.383,0.435,0.482,0.534,0.594,0.641,0.696,0.745,0.805,0.866,0.936,1.007,1.084,1.184,1.314,1.662,15.844
1991,50,1241,0.223,0.323,0.406,0.474,0.551,0.622,0.692,0.765,0.832,0.902,0.977,1.058,1.135,1.219,1.312,1.469,1.689,2.054,2.947,40.273
1992,57,1298,0.165,0.236,0.303,0.355,0.421,0.473,0.521,0.579,0.63,0.698,0.752,0.801,0.852,0.904,0.98,1.064,1.243,1.473,2.033,60.307
1993,56,1396,0.162,0.221,0.269,0.322,0.373,0.425,0.472,0.513,0.559,0.605,0.653,0.694,0.751,0.808,0.883,0.952,1.073,1.243,1.48,12.768
1994,63,1478,0.147,0.206,0.258,0.297,0.329,0.364,0.398,0.437,0.475,0.512,0.544,0.583,0.617,0.654,0.706,0.77,0.852,0.98,1.214,28.853
1995,57,1535,0.171,0.236,0.287,0.331,0.36,0.403,0.435,0.467,0.512,0.566,0.61,0.654,0.697,0.741,0.798,0.873,0.955,1.102,1.347,8.911
1996,57,1587,0.134,0.201,0.241,0.285,0.316,0.35,0.384,0.424,0.46,0.495,0.535,0.575,0.612,0.652,0.718,0.781,0.86,0.99,1.271,19.901
1997,60,1688,0.132,0.184,0.225,0.265,0.298,0.331,0.368,0.405,0.443,0.478,0.507,0.538,0.578,0.626,0.682,0.738,0.822,0.949,1.224,6.094
1998,58,1696,0.125,0.165,0.2,0.235,0.268,0.297,0.323,0.349,0.376,0.406,0.438,0.471,0.511,0.548,0.594,0.642,0.714,0.848,1.074,7.047
1999,45,1679,0.104,0.159,0.206,0.25,0.294,0.33,0.369,0.409,0.443,0.48,0.523,0.56,0.61,0.67,0.749,0.85,0.972,1.182,1.577,8.421
2000,43,1542,0.102,0.156,0.205,0.268,0.32,0.366,0.412,0.454,0.505,0.555,0.605,0.662,0.733,0.815,0.895,1.007,1.177,1.469,2.037,14.771
2001,38,1437,0.117,0.167,0.222,0.274,0.318,0.358,0.401,0.438,0.484,0.527,0.597,0.648,0.723,0.827,0.973,1.107,1.36,1.842,2.889,31.498
2002,39,1391,0.122,0.181,0.249,0.294,0.331,0.373,0.416,0.458,0.5,0.541,0.578,0.629,0.683,0.758,0.831,0.932,1.08,1.364,1.946,22.843
2003,45,1374,0.164,0.236,0.297,0.345,0.393,0.436,0.481,0.525,0.573,0.613,0.654,0.713,0.769,0.832,0.921,1.023,1.194,1.457,2.006,9.556
2004,34,1359,0.125,0.195,0.24,0.287,0.321,0.35,0.386,0.419,0.454,0.484,0.514,0.548,0.587,0.633,0.692,0.746,0.827,0.942,1.239,4.913
2005,29,1364,0.128,0.183,0.236,0.269,0.299,0.324,0.356,0.39,0.415,0.451,0.48,0.516,0.551,0.582,0.627,0.671,0.738,0.813,1.052,3.253
2006,36,1319,0.125,0.182,0.224,0.26,0.291,0.321,0.353,0.384,0.415,0.455,0.482,0.513,0.555,0.594,0.645,0.71,0.793,0.885,1.059,3.411
2007,39,1297,0.126,0.184,0.219,0.256,0.287,0.312,0.338,0.372,0.409,0.443,0.473,0.505,0.542,0.583,0.613,0.668,0.723,0.817,0.994,2.995
2008,35,1277,0.125,0.181,0.226,0.259,0.297,0.328,0.36,0.4,0.45,0.483,0.528,0.577,0.617,0.675,0.737,0.827,0.967,1.15,1.483,5.052
2009,54,1209,0.187,0.263,0.34,0.409,0.46,0.51,0.562,0.626,0.684,0.749,0.848,0.91,0.987,1.069,1.216,1.376,1.613,1.928,2.783,26.412
2010,57,1200,0.139,0.21,0.278,0.333,0.38,0.414,0.452,0.498,0.547,0.583,0.632,0.679,0.741,0.802,0.878,0.952,1.064,1.247,1.678,6.078
2011,57,1192,0.133,0.198,0.245,0.295,0.333,0.367,0.403,0.441,0.479,0.518,0.56,0.616,0.659,0.707,0.758,0.836,0.934,1.097,1.282,4.352
2012,54,1193,0.145,0.209,0.283,0.324,0.367,0.411,0.463,0.5,0.545,0.586,0.636,0.694,0.75,0.813,0.894,0.987,1.08,1.322,1.846,5.764
2013,51,1196,0.124,0.198,0.248,0.288,0.332,0.372,0.42,0.455,0.492,0.536,0.589,0.631,0.687,0.758,0.829,0.909,1.023,1.175,1.548,5.199
2014,50,1215,0.099,0.151,0.19,0.226,0.256,0.296,0.328,0.356,0.387,0.424,0.462,0.502,0.557,0.605,0.661,0.74,0.821,0.927,1.092,4.423
2015,52,1231,0.095,0.145,0.181,0.209,0.242,0.278,0.313,0.351,0.383,0.426,0.472,0.515,0.572,0.63,0.693,0.768,0.889,1.05,1.328,8.072
2016,68,1181,0.089,0.154,0.197,0.236,0.267,0.303,0.352,0.389,0.43,0.479,0.523,0.579,0.635,0.707,0.79,0.884,1.013,1.277,1.681,7.583
2017,79,1125,0.087,0.137,0.184,0.215,0.246,0.276,0.303,0.339,0.376,0.411,0.455,0.498,0.539,0.599,0.647,0.713,0.795,0.964,1.294,14.357
2018,71,1122,0.087,0.13,0.169,0.202,0.235,0.261,0.296,0.337,0.37,0.405,0.459,0.506,0.554,0.603,0.668,0.742,0.831,0.973,1.334,12.479
2019,74,1110,0.087,0.138,0.186,0.231,0.282,0.327,0.383,0.43,0.47,0.533,0.575,0.654,0.715,0.802,0.908,1.004,1.156,1.335,1.862,24.16
2020,73,1071,0.074,0.12,0.161,0.205,0.242,0.288,0.326,0.368,0.425,0.464,0.51,0.57,0.648,0.71,0.787,0.88,1.031,1.259,1.753,35.413
2021,71,1067,0.048,0.093,0.132,0.165,0.207,0.245,0.281,0.331,0.373,0.427,0.48,0.542,0.618,0.698,0.795,0.894,1.028,1.234,1.726,13.605
2022,68,1122,0.051,0.091,0.12,0.147,0.18,0.219,0.253,0.291,0.327,0.368,0.419,0.469,0.528,0.584,0.64,0.712,0.817,0.952,1.218,8.164
2023,74,1114,0.087,0.132,0.18,0.222,0.258,0.296,0.338,0.385,0.431,0.481,0.53,0.594,0.643,0.714,0.789,0.887,1.015,1.232,1.64,6.123
